sample	allocations	allocated_bytes	deallocations	deallocated_bytes
1	21498	10134624	22766	9722326
2	9597	7640639	11990	7747150
3	5269	7349392	5268	7272372
4	5269	7349392	5268	7272372
5	5269	7349392	5268	7272372
6	11437	7626399	13626	7759058
7	20469	8025763	21833	8138901
8	15701	7814919	17500	7938302
9	18242	7927324	19809	8045147
10	19353	8297091	18345	8136070
11	5269	7349392	5268	7272372
12	5269	7349392	5268	7272372
13	13073	7698689	15112	7827807
14	20626	8028047	19222	7917950
15	18461	7936991	20008	8054441
16	9975	7561909	12300	7697876
17	18003	7916696	19593	8035203
18	15450	8176273	14404	7982815
19	27386	8331541	28120	8429785
20	20687	8030936	19274	7920408
21	20934	8041774	19498	7930762
22	20022	8005967	21424	8119946
23	20498	8027139	21863	8140357
24	20562	8025450	19163	7915242
25	5269	7349392	5268	7272372
26	22883	8128029	21277	8013192
27	20879	8039334	19455	7928854
28	20674	8030269	19261	7919816
29	15652	7812999	17461	7936619
30	21012	8045177	19572	7934196
31	16040	7830012	17810	7952763
32	15642	8220206	14547	8007423
33	22555	8113458	21428	8059346
34	22500	8111032	20921	7996514
35	30065	8514255	30957	8393013
36	47317	8774584	49240	8823328
