sample	allocations	allocated_bytes	deallocations	deallocated_bytes
1	20469	8025763	21833	8138901
2	15701	7814919	17500	7938302
3	18242	7927324	19809	8045147
4	19353	8297091	18345	8136070
5	5269	7349392	5268	7272372
6	5269	7349392	5268	7272372
7	13073	7698689	15112	7827807
8	20626	8028047	19222	7917950
9	18461	7936991	20008	8054441
10	9975	7561909	12300	7697876
11	18003	7916696	19593	8035203
12	15450	8176273	14404	7982815
13	27386	8331541	28120	8429785
14	20687	8030936	19274	7920408
15	20934	8041774	19498	7930762
16	20022	8005967	21424	8119946
17	20498	8027139	21863	8140357
18	20562	8025450	19163	7915242
19	5269	7349392	5268	7272372
20	22883	8128029	21277	8013192
21	20879	8039334	19455	7928854
22	20674	8030269	19261	7919816
23	15652	7812999	17461	7936619
24	21012	8045177	19572	7934196
25	16040	7830012	17810	7952763
26	15642	8220206	14547	8007423
27	22555	8113458	21428	8059346
28	22500	8111032	20921	7996514
29	30065	8514255	30957	8393013
30	47317	8774584	49240	8823328
