sample	allocations	allocated_bytes	deallocations	deallocated_bytes
1	52864	22783837	54022	22630097
2	43636	22266526	43635	21999386
3	57833	23195266	58592	23038436
4	57747	23194292	58562	23037766
5	58265	23197426	58736	23039156
6	95700	24416139	98158	24310527
7	58617	23310493	58855	23095437
8	108016	25266470	108881	25080376
9	58714	23311031	58887	23095595
10	67903	23602033	69267	23436350
11	101509	24660871	103013	24542987
12	58245	23196788	58728	23038598
13	108231	25268077	108954	25081257
14	67341	23586833	68705	23421137
15	72057	23715756	73421	23550040
16	66399	23561237	67764	23395605
17	73005	23741621	74368	23575873
18	93319	24294323	94683	24128627
19	99939	24594898	101704	24480461
20	104433	24783644	105468	24659793
21	108521	25269474	109051	25081744
22	108625	25269509	109084	25081389
23	108366	25268752	108999	25081482
24	94424	24362260	97083	24259279
25	102480	24701797	103831	24582027
26	101502	24660221	103011	24542459
27	101510	24660875	103014	24543013
28	101863	24675432	103317	24556953
29	108416	25268946	109016	25081568
30	64315	23504350	65680	23338718
31	63200	23474570	64564	23308886
32	62532	23455900	63897	23290268
33	68227	23611505	69592	23445853
34	108141	25267036	108923	25080586
35	65716	23543134	67075	23377270
36	108393	25268296	109007	25081006
