sample	allocations	allocated_bytes	deallocations	deallocated_bytes
1	58617	23310493	58855	23095437
2	108016	25266470	108881	25080376
3	58714	23311031	58887	23095595
4	67903	23602033	69267	23436350
5	101509	24660871	103013	24542987
6	58245	23196788	58728	23038598
7	108231	25268077	108954	25081257
8	67341	23586833	68705	23421137
9	72057	23715756	73421	23550040
10	66399	23561237	67764	23395605
11	73005	23741621	74368	23575873
12	93319	24294323	94683	24128627
13	99939	24594898	101704	24480461
14	104433	24783644	105468	24659793
15	108521	25269474	109051	25081744
16	108625	25269509	109084	25081389
17	108366	25268752	108999	25081482
18	94424	24362260	97083	24259279
19	102480	24701797	103831	24582027
20	101502	24660221	103011	24542459
21	101510	24660875	103014	24543013
22	101863	24675432	103317	24556953
23	108416	25268946	109016	25081568
24	64315	23504350	65680	23338718
25	63200	23474570	64564	23308886
26	62532	23455900	63897	23290268
27	68227	23611505	69592	23445853
28	108141	25267036	108923	25080586
29	65716	23543134	67075	23377270
30	108393	25268296	109007	25081006
